Landmark,Full_Adress,Time
 SAMAJI GDA (HYDERABAD)," GROUND FLOORG-2, G S MALL6-3-1109/5 & 6, RAJ BHAVAN ROAD,SOMAJIGUDA,HYDERABAD-500016PH.NO. 040-66518585/ 86 / 87/ 88/ 89/ 90",11 AM to 11 PM 
 HIMAYAT NGR (HYDERABAD)," NO. 3-6-268,HIMAYAT NAGAR MAIN ROAD, STOCK EXCHANGE ROAD,OPP. TELUGU ACADEMY,HIMAYAT NAGAR,HYDERABAD - 500021 PH.NO. 040-66510505",11 AM to 11 PM 
 JUBILEE HILL," PLOT NO.23, 8-2-293/82/A/23, DIVYASAI ENCLAVE,NEXT TO KUNA'S GUEST HOUSE, ROAD NO.5,LANE OPPOSITE TO CANARA BANK,JUBLEE HILLS,HYDERABAD - 500033 PH.NO. 040-66338585-88/ 23550530",11 AM to 11 PM 
 HI TECH CITY," PLOT NO-26,OPP.CYBER TOWER, HI-TECH CITY RD,NEAR NIFT, MADHAPUR,R.R.DISTRICT, HYDERABAD-500081Ph.No.040-231110101/66848585",11 AM to 11 PM 
 INFOSYS HYDERABAD," INFOSYS CAMPUS, 210 MANIKONDA VILLAGE, OPP I.S.B SERI LINGAMPALLY RAJENDER NAGAR, R.R. DIST.,HYDERABAD - 500082 PH.NO. 040-64638585 / 64538590",11 AM to 11 PM 
 A.S.RAO NAGAR," 103/104- FIRST FLOORDOOR NO:1-19-71/4/A13RUKMANIPURAMPNR SSV COMPLEX, OPP. A.S.RAO NAGAR,HYDERABAD - 500062 PH.NO. 040-66178585/86/87/88/89/90",11 AM to 11 PM 
 NACHARAM-HYDERABAD," PLOT NO:1,SURVEY NOS 204 & 206/2KUMAR ARCADE, OPP RAM KRISHNA STUDIOBHAVANI NAGARNACHARAM VILLAGE,HYDERABAD - 500062 PH.NO. 040-27150744-48",11 AM to 11 PM 
 KOMPALLY," GROUND FLOOR, PLOT NO_ 2OPP SATYAM ENCLAVEMEDCHAL HIGHWAYR.R DISTRICT,HYDERABAD - 500062 PH.NO. 040-9247028585/ 86/ 87/ 88/ 89/ 90",11 AM to 11 PM 
 V. MADHAPUR," VEGA BLOCKTHE V ' ASCENDAS , PLOT NO - 17, MADHAPUR,HYDERABAD - 500081 PH.NO. 040-40268585/ 84/ 83/ 64618585/ 80",11 AM to 11 PM 
 GACHI BOWLI," GROUND FLOOR, PLOT-78, GACCHI BOWLI,SERI LINGAMPALLIMANDAL,RANGA REDDY DISTRICT,HYDERABAD - 500032 PH.NO. 040-43468888",11 AM to 11 PM 
